Champion,Cost,Role,Origin 1,Origin 2,Class 1,Class 2,Range,Summary,Skill Description,Step,Skill Type,Trigger (When),Condition (Only if),Action Source,Legacy action,Aim Target,Offset,AOE (hex),Skill Range,Count,Volley Shape,Fire Timing,Cast (s),Effect Recipient,Effect Category,Effect Detail,Amount,Scaling Type,Scaling,Effect Cadence,Effect Duration (s)
,,,,,,,,,,2,Passive,On Attack,If Empowered,Self,Circle AOE,Current,centred,Circle 1 hex,1,1,—,—,—,Enemies in area,Attack,Damage,85% AD,—,—,Once,—
Samira,3 Gold,ADCarryCrit,Country,,Executioner,,4,Style-Stacking Crit Carry,"Passive: Attacks that critically strike grant a stack of Style, up to 6 stacks. Each stack grants 20% Ability Power Attack Speed. Active: Deal 240/240/250% Attack Damage physical damage to the current target, then another 110% Attack Damage physical damage per Style stack. Afterwards, reset Style.",0.1,Passive,On Attack,If Critical Strike,Self,Cast,Self,—,—,4,1,—,—,—,Same to Aim Target,Buff,Style,+1 stack,Cap,max 6 stacks,Once,Permanent
,,,,,,,,,,0.2,Passive,Game Start,—,Self,Cast,Self,—,—,4,1,—,—,—,Same to Aim Target,Buff,Attack Speed,20% AP,Per Stack,per Style stack,Once,Permanent
,,,,,,,,,,1,Active,On Cast,—,Self,Homing Projectile,Current,default,default,4,1,—,—,—,Same to Aim Target,Attack,Damage,240/240/250% AD,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Attack,Damage,110% AD,Per Stack,per Style stack,Once,—
,,,,,,,,,,2,Active,After Step 1,—,Self,Cast,Self,—,—,4,1,—,—,—,Same to Aim Target,Buff,Style,reset to 0,—,—,Once,—
Urgot,3 Gold,ADFighter,Country,,Mosher,,2,AS→AD Cone Fighter,"For 8 seconds, convert bonus Attack Speed to Attack Damage. Attacks deal 175/175/180% Attack Damage plus 15/25/40% Ability Power physical damage in a cone and grant Urgot 20% of the damage dealt as a 5 second Shield. If Urgot only hits one target, deal 50% bonus damage.",1,Active,On Cast,—,Self,Cast,Self,—,—,2,1,—,—,—,Same to Aim Target,Debuff,Attack Speed,convert bonus AS,—,—,Once,8
,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Buff,AD,= converted bonus AS,Derived,+bonus AS converted,Once,8
,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Status,Empowered,—,—,—,Once,8
,,,,,,,,,,2,Passive,On Attack,If Empowered,Self,Cone AOE,Current,default,Cone 1 hex,2,1,—,—,—,Enemies in area,Attack,Damage,175/175/180% AD + 15/25/40% AP,Conditional Bonus,+50% if only 1 target hit,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,Self,Buff,Shield,20% of damage dealt,Derived,+20% damage dealt,Once,5
Caitlyn,4 Gold,ADCaster,8-bit,,Rapidfire,,5,Furthest-Target Sniper,Fire shots at the 4 furthest enemies. Shots deal 360/360/750% Attack Damage plus 40/60/200% Ability Power physical damage to the first enemy they hit.,1,Active,On Cast,—,Self,First hit Projectile,4 furthest enemies,default,default,5,4,—,Consecutive,—,First hit enemy,Attack,Damage,360/360/750% AD + 40/60/200% AP,—,—,Once,—
Thresh,4 Gold,APTank,Country,,Guardian,,1,Cluster-Stun Tank,Stun the largest group of nearby enemies for 1.75/2/8 seconds and deal 150/225/1200% Ability Power magic damage to each. Thresh heals for 250/300/600 + 50/50/50% of the total damage dealt.,1,Active,On Cast,—,Self,Circle AOE,Clustered,centred,Circle 2 hex,1,1,—,—,—,Enemies in area,Attack,Damage,150/225/1200% AP,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,Enemies in area,Status,Stun,—,—,—,Once,1.75/2/8
,,,,,,,,,,,,,,,,,,,,,,,,Self,Buff,Heal,250/300/600,Derived,+50% of total damage dealt,Once,—
Nami,1 Gold,APCasterHighMana,Disco,,Dazzler,,4,Single-Target Stun Nuke,Deal 300/450/675% Ability Power magic damage to the current target and Stun them for 1.25/1.25/1.25 seconds.,1,Active,On Cast,—,Self,Homing Projectile,Current,default,default,4,1,—,—,—,Same to Aim Target,Attack,Damage,300/450/675% AP,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Status,Stun,—,—,—,Once,1.25
Taric,1 Gold,APTank,Disco,,Guardian,,1,Shielded Empowered-Attack Tank,Gain a 240/290/330 plus 6% of Taric's max Health Shield for 4 seconds. Taric's next 2 attacks deal 250/375/565% Ability Power bonus magic damage.,1,Active,On Cast,—,Self,Cast,Self,—,—,1,1,—,—,—,Same to Aim Target,Buff,Shield,240/290/330,Derived,+6% max HP,Once,4
,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Buff,Empowered Attack,250/375/565% AP,—,—,Once,2 attacks
Gragas,2 Gold,APTank,Disco,,Spellweaver,Bruiser,1,Heal-then-Chill Tank,"Heal 500/575/650 Health over 2/2/2 seconds. Then, deal 190/285/440% Ability Power magic damage to adjacent enemies and Chill them for 3/3/3 seconds. Chill: Reduce Attack Speed by 30%.",1,Active,On Cast,—,Self,Cast,Self,—,—,1,1,—,—,—,Same to Aim Target,Buff,Heal,500/575/650,—,—,Every 0.5s,2
,,,,,,,,,,2,Active,After Step 1,—,Self,Circle AOE,Current,centred,Circle 1 hex,1,1,—,—,—,Enemies in area,Attack,Damage,190/285/440% AP,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,Enemies in area,Status,Chill,—,—,—,Once,3
Jax,2 Gold,APFighter,EDM,,Mosher,,1,Leaping Splash Fighter,"Leap at the highest Health enemy within 2/2/2 hexes and deal 230/345/520% Ability Power magic damage to them. Then, deal 140/210/315% Ability Power magic damage to all adjacent enemies. Gain 10/10/10% Attack Damage and Ability Power for the rest of combat.",1,Active,On Cast,—,Self,Move,Highest HP (within 2 hex),—,—,1,1,—,—,—,Self,Movement,(reposition),—,—,—,Once,—
,,,,,,,,,,2,Active,After Step 1,—,Self,Cast,Highest HP (within 2 hex),—,—,1,1,—,—,—,Same to Aim Target,Attack,Damage,230/345/520% AP,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,Self,Buff,AD,10%,—,—,Once,Permanent
,,,,,,,,,,,,,,,,,,,,,,,,Self,Buff,AP,10%,—,—,Once,Permanent
,,,,,,,,,,3,Active,After Step 2,—,Self,Circle AOE,Self,centred,Circle 1 hex,1,1,—,—,—,Enemies in area,Attack,Damage,140/210/315% AP,—,—,Once,—
Lux,3 Gold,APCasterHighMana,EDM,,Dazzler,,5,Piercing Beam Caster,"Fire a beam at the farthest enemy, dealing 250/375/550% Ability Power magic damage to all enemies it hits.",1,Active,On Cast,—,Self,Laser Shot,Farthest enemy,default,unknown,5,1,—,—,—,Enemies in path,Attack,Damage,250/375/550% AP,—,—,Once,—
Blitzcrank,4 Gold,APTank,Disco,,Sentinel,,1,Periodic-Zap Shield Tank,"Passive: Deal 100/150/1000% Ability Power magic damage to a nearby enemy every 2/2/2 seconds. Active: Gain a 600/750/2000% Ability Power Shield. For 5/5/5 seconds, Blitzcrank's Passive deals damage every second and deals an additional 1/1/1% of the target's max Health as magic damage.",0,Passive,Game Start,If not Empowered,Self,Cast,Nearest enemy,—,—,1,1,—,—,—,Same to Aim Target,Attack,Damage,100/150/1000% AP,—,—,Every 2s,Permanent
,,,,,,,,,,,,Game Start,If Empowered,Self,Cast,Nearest enemy,—,—,1,1,—,—,—,Same to Aim Target,Attack,Damage,100/150/1000% AP,—,—,Every 1s,5
,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Attack,Damage,1% max HP,Derived,+1% target max HP,Every 1s,5
,,,,,,,,,,1,Active,On Cast,—,Self,Cast,Self,—,—,1,1,—,—,—,Same to Aim Target,Buff,Shield,600/750/2000% AP,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Status,Empowered,—,—,—,Once,5
Twisted Fate,4 Gold,APCarry,Disco,,Dazzler,,5,Card-Barrage Shred Carry,Throw 21 cards (scales with Attack Speed) divided between the current target and 3 nearest enemies. They reduce Magic Resist by 1 and deal 50/75/225% Ability Power magic damage.,1,Active,On Cast,—,Self,Homing Projectile,Current + 3 nearest,default,default,5,21 (AS-scaled),—,Consecutive,—,Same to Aim Target,Attack,Damage,50/75/225% AP,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Debuff,MR,1,—,—,Once,—
Zac,4 Gold,APTank,EDM,,Bruiser,,1,Bouncing Stun Tank,"Bounce 3/3/3 times on nearby enemies. Each bounce deals 120/180/1200% Ability Power magic damage, Stuns for 1/1/1 second, and heals Zac for 120/160/800% Ability Power Health.",1,Active,On Cast,—,Self,Bounce Charge,Nearest enemy,default,default,1,3,—,Consecutive,—,Same to Aim Target,Attack,Damage,120/180/1200% AP,—,—,Once,—
,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Status,Stun,—,—,—,Once,1
,,,,,,,,,,,,,,,,,,,,,,,,Self,Buff,Heal,120/160/800% AP,—,—,Once,—
Zed,4 Gold,ADReaper,EDM,,Crowd Diver,,1,Mark-and-Shadow Assassin,"Mark the current target and spawn an untargetable Shadow with 185/185/370% Attack Damage for 4/4/4 seconds. After a brief delay or when the marked enemy falls below 15% health, deal an additional 350/350/700% Attack Damage physical damage.",1,Active,On Cast,—,Self,Cast,Current,—,—,1,1,—,—,—,Same to Aim Target,Status,Mark,—,—,—,Once,—
,,,,,,,,,,2,Active,After Step 1,—,Self,Summon,Current,—,—,1,1,—,—,—,—,Summon,(summon),185/185/370% AD,—,—,Once,4
,,,,,,,,,,3,Active,After Step 2,After delay or Target < 15% HP,Self,Cast,Current,—,—,1,1,—,—,—,Same to Aim Target,Attack,Damage,350/350/700% AD,—,—,Once,—
